update,step,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,pos_0,pos_1,pos_2,rot_0,rot_1,rot_2,LF_HAA_angVel,LF_HFE_angVel,LF_KFE_angVel,RF_HAA_angVel,RF_HFE_angVel,RF_KFE_angVel,LH_HAA_angVel,LH_HFE_angVel,LH_KFE_angVel,RH_HAA_angVel,RH_HFE_angVel,RH_KFE_angVel,LF_HAA_force,LF_HFE_force,LF_KFE_force,RF_HAA_force,RF_HFE_force,RF_KFE_force,LH_HAA_force,LH_HFE_force,LH_KFE_force,RH_HAA_force,RH_HFE_force,RH_KFE_force,reward_Torque,reward_ForwardVel,reward_footClearance,reward_BodyHeight,reward_yVel,reward_zVel,reward_angVelocity
0,0,0.029999999,0.400000006,-0.800000012,-0.029999999,0.400000006,-0.800000012,0.029999999,-0.400000006,0.800000012,-0.029999999,-0.400000006,0.800000012,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220727667,0.010142632,0,0,0,0
0,1,0.041998707,0.409241706,-0.776226997,-0.029523466,0.42431426,-0.764231205,0.059855729,-0.381560147,0.816043496,-0.04893462,-0.396888107,0.833070159,0.0007879,-0.000248266,0.499101937,-0.002463746,-0.004235592,0.000209958,2.387497187,1.864519,4.48875761,0.270497173,4.871010303,-0.985885382,5.941884518,3.69689393,3.00155592,-3.79456377,0.669147074,6.197813034,25.70509911,17.75346184,4.548779011,-12.69266891,76.86155701,29.18933487,57.83708572,32.04935455,8.037819862,-55.27575684,-1.665833473,6.746219158,-0.618321598,0.374935091,0.010526569,-0.000269416,-0.014989279,-0.054402795,-0.011326034
0,2,0.062076245,0.441190571,-0.765482843,-0.027782047,0.451184541,-0.75437057,0.130352557,-0.323141903,0.782119215,-0.099657655,-0.36729002,0.780898154,0.00283034,-0.00053135,0.497329146,-0.008658178,-0.015300734,0.000289105,2.031129122,4.332957745,0.60528332,0.687777221,0.835268259,2.421933174,8.151615143,7.847621441,-9.185704231,-6.070510387,5.051906586,-14.99999714,6.65238905,23.04840851,4.125717163,-21.82379532,5.40935564,50.83243942,16.15921021,21.04414368,-7.195029736,-17.48028374,10.28227329,-17.65667725,-0.206430763,0.463561833,0.010249802,-0.00080126,-0.003726538,-0.054080963,-0.002382795
0,3,0.089221425,0.500644863,-0.799986362,-0.013264917,0.452094793,-0.719631374,0.212593675,-0.229536489,0.657148182,-0.142860204,-0.329328328,0.681931436,0.00551261,-0.000553941,0.49588272,-0.02210667,-0.030974636,-0.000970112,3.848608255,7.392418861,-7.16929388,2.443105459,-0.685510755,4.614480495,8.328802109,10.60717201,-14.85601902,-0.988086462,0.71392566,-1.04274559,12.76560402,22.24806404,-4.893015862,-23.4321785,-17.18904305,42.86077881,-12.76061249,19.37796593,0.024925565,0.145101726,8.932058334,-23.03367233,-0.180485889,0.489881426,0.008018939,-0.001235182,-0.002651861,-0.025325172,-0.093065411
0,4,0.135447443,0.587606192,-0.912225783,0.013863347,0.44341895,-0.671111345,0.300834447,-0.158197671,0.562331617,-0.136425242,-0.316778004,0.675515056,0.008565298,-0.000737341,0.495423615,-0.047073346,-0.045215644,-0.003430504,5.430139065,9.818348885,-14.09615707,2.981065989,-1.059706569,5.099424362,9.230104446,4.603127003,-6.258795261,2.210018396,1.597656965,-0.061466765,18.38982582,22.91391182,-2.966326475,-17.87389755,-7.653493404,16.60389709,-18.23855019,24.38148308,-0.832744837,15.59750366,24.38199997,-3.360526323,-0.132105038,0.535444856,0.010658511,-0.001372918,-0.010664075,-0.010586927,-0.047638793
0,5,0.191628635,0.695521176,-1.049869537,0.035430476,0.434322447,-0.618514597,0.390616298,-0.115375161,0.495029986,-0.110058732,-0.291500211,0.711690903,0.01240726,-0.001159997,0.495034039,-0.073107511,-0.057691399,-0.004828706,5.787157059,11.56326389,-12.2725668,1.101983666,-0.94892323,5.451376915,8.516605377,4.234191895,-7.231172085,2.925569057,3.471430063,6.915040493,13.10135555,23.19281769,5.320969105,-20.21551895,-3.402601004,-0.789481997,-18.24604607,39.0915947,-2.110272408,13.15768051,30.47163963,9.611129761,-0.168731064,0.587669849,0.016046254,-0.001489787,-0.00970344,-0.027844828,-0.022584902
0,6,0.253707319,0.816635013,-1.158525467,0.0497033,0.426479399,-0.563603818,0.468934953,-0.06007982,0.433833301,-0.075332575,-0.248847827,0.798207283,0.017006282,-0.001481711,0.494042814,-0.097508542,-0.070520394,-0.006605231,6.515380383,12.44207668,-8.647815704,1.149363041,-1.409387589,5.62308979,6.828766346,6.668715954,-4.516434193,3.768200159,5.033522129,9.716017723,5.486918926,11.34072113,5.064534187,-6.157143116,-17.97801971,-2.805076838,-23.60631752,31.08921242,7.751660347,13.40595913,20.79625702,3.514898539,-0.110471994,0.597546399,0.022901518,-0.001787157,-0.000761885,-0.052855633,-0.075359963
0,7,0.325618446,0.934630156,-1.180773973,0.075279534,0.417663872,-0.510310054,0.52974534,0.026774371,0.346132845,-0.030020569,-0.188485056,0.887413859,0.021993894,-0.001669923,0.492805332,-0.12305975,-0.08533258,-0.010265464,7.645507813,11.02276134,4.093107224,2.757240295,-0.992499352,5.707881451,4.950927258,10.48294067,-12.0962677,4.993750095,6.977378368,7.57050848,-1.681526184,-1.088116169,10.63046074,5.474765301,-25.11344528,4.662281036,-31.52356148,27.85507393,-1.294448018,16.19976616,14.74783993,-1.82740438,-0.12215998,0.599999428,0.027648488,-0.002158403,-0.004622179,-0.047832374,-0.138158038
0,8,0.413222462,1.018768311,-1.072678924,0.098839074,0.407603413,-0.456844449,0.591655254,0.07217326,0.274220318,0.038274504,-0.108968362,0.936654627,0.027092161,-0.002744963,0.492795676,-0.145953923,-0.097024374,-0.010321824,9.680170059,6.421030045,14.9929018,2.208837032,-1.088953137,5.320831299,5.723062038,3.357986689,-6.060295105,8.166733742,8.823824883,2.297878027,0.098781832,-16.74602699,7.063951015,9.652433395,-21.29006004,0.903173864,-28.98660469,23.79628563,-13.13977242,23.52742004,10.92515469,-3.619011879,-0.125709057,0.598971188,0.030181095,-0.002161296,-0.044905562,-0.00568888,-0.060336068
0,9,0.505279779,1.078377485,-0.922687829,0.121981211,0.389556915,-0.434571832,0.62955761,0.105708368,0.255265534,0.117679946,-0.016282452,0.907500982,0.032168936,-0.004011349,0.493038237,-0.164340377,-0.105913848,-0.009682055,8.495013237,5.496985912,15,2.310450554,-2.492069244,-0.939006865,1.720387936,3.336811066,2.305306673,7.57545042,9.573767662,-7.625049591,-5.864537239,-3.9173491,6.246262074,13.14016438,-26.49390602,-8.987076759,-33.6495018,12.86527061,8.99769783,7.538012505,-0.185912088,-8.319209099,-0.101957634,0.599866033,0.032435622,-0.002088531,-0.025780424,-0.021868365,-0.008347031
