update,step,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,pos_0,pos_1,pos_2,rot_0,rot_1,rot_2,LF_HAA_angVel,LF_HFE_angVel,LF_KFE_angVel,RF_HAA_angVel,RF_HFE_angVel,RF_KFE_angVel,LH_HAA_angVel,LH_HFE_angVel,LH_KFE_angVel,RH_HAA_angVel,RH_HFE_angVel,RH_KFE_angVel,LF_HAA_force,LF_HFE_force,LF_KFE_force,RF_HAA_force,RF_HFE_force,RF_KFE_force,LH_HAA_force,LH_HFE_force,LH_KFE_force,RH_HAA_force,RH_HFE_force,RH_KFE_force,reward_Torque,reward_ForwardVel,reward_footClearance,reward_BodyHeight,reward_yVel,reward_zVel,reward_angVelocity
0,0,0.029999999,0.400000006,-0.800000012,-0.029999999,0.400000006,-0.800000012,0.029999999,-0.400000006,0.800000012,-0.029999999,-0.400000006,0.800000012,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220727667,0.010142632,0,0,0,0
0,1,-0.00990478,0.420320421,-0.906367242,-0.054845411,0.397521496,-0.765267491,0.011161869,-0.382815301,0.758429885,-0.061904088,-0.406817377,0.892374575,0.000489238,0.001132206,0.499676138,0.015965903,-0.000740376,-0.000630952,-7.72698307,3.140822172,-14.81704521,-3.537037611,1.393940926,-1.908069015,-3.561874151,1.291267037,-1.676940799,-6.256741524,-0.768249333,14.95416069,-29.21757507,12.81959057,-20.61942482,-8.35104847,-5.64186573,9.964591026,-7.373917103,47.73795319,-12.31605625,-31.71351814,5.82927084,17.46211052,-0.218946308,0.31180203,0.014111747,-9.72E-05,-0.062837176,-0.005955578,-0.007013144
0,2,-0.08730638,0.465757221,-1.055450082,-0.087233938,0.408441782,-0.773901522,-0.02222462,-0.369399339,0.746490598,-0.136764064,-0.39998886,0.987543583,0.001729232,0.003373174,0.49993065,0.044342831,-0.004934586,-0.001293524,-7.642784595,5.874858379,-14.65036011,-2.882727623,0.776242018,0.194721758,-3.055038452,1.367007136,-0.684259593,-8.601556778,2.139308929,3.635093689,6.908809185,29.06238747,2.830813169,15.6775198,-10.64938831,51.46477509,11.38057518,20.50380707,-14.17576885,-27.19293213,6.446142197,-9.510462761,-0.221220717,0.368873268,0.022747848,-2.08E-05,-0.071196146,-0.016803078,-0.028042067
0,3,-0.14720808,0.534072816,-1.17513454,-0.106914297,0.414552897,-0.767328739,-0.044191722,-0.357736975,0.745439827,-0.217226878,-0.366387755,0.968487859,0.003611973,0.005164701,0.500549197,0.061687201,-0.011752633,-0.002520621,-4.208315372,7.671396732,-8.466090202,-1.022643566,0.431530684,1.140375137,-1.306844831,0.948792815,0.494665414,-7.323423386,4.477908134,-7.004585743,21.86572266,25.81165504,9.894637108,17.26864243,5.407989025,18.92674065,24.58589554,20.22650909,-11.64785957,-5.931883812,6.878257275,-7.404676914,-0.128580257,0.440911829,0.027364081,-0.000164753,-0.03710505,-0.013969057,-0.03715587
0,4,-0.176480055,0.615129948,-1.24983263,-0.104699187,0.434924066,-0.853422642,-0.045389459,-0.349536717,0.750414908,-0.274690717,-0.312474579,0.850006878,0.006237668,0.005745744,0.500631511,0.065135702,-0.017794926,-0.003391536,-1.548245788,8.411991119,-5.847738266,1.37842226,3.178326845,-15,1.101050377,0.672326505,0.563901186,-4.013539314,6.083854198,-14.99996281,14.6749239,8.604701042,4.658652306,-1.776628613,8.413873672,-15.74142742,12.24152088,18.79684067,-0.631810367,18.7421875,5.581002235,-5.345737457,-0.061896354,0.50617367,0.029646903,-0.000189445,-0.001960492,-0.012480259,-0.00363183
0,5,-0.19235824,0.69554311,-1.247496843,-0.096920565,0.469111562,-1.003410578,-0.041142713,-0.343829274,0.759563386,-0.305802166,-0.246562421,0.700007081,0.009379824,0.005672683,0.500074983,0.064117707,-0.022828067,-0.0029442,-1.539784789,7.610875607,6.133011818,0.206737846,3.632353067,-15,0.085267343,0.52784121,1.050344944,-2.176642179,7.051151752,-14.99995899,1.780924916,3.888940573,11.75057983,-11.71245289,5.180627823,-4.972724438,-12.48812485,26.6518383,-0.570093334,24.61142349,8.896158218,-1.72360456,-0.075982139,0.535527289,0.030122682,-2.25E-05,-0.005130908,-0.024810581,-0.039653305
0,6,-0.206081897,0.765373349,-1.128393412,-0.098941885,0.499278307,-1.122529984,-0.04249518,-0.326562196,0.766958952,-0.323383093,-0.172201261,0.550539553,0.012817943,0.005540526,0.499031693,0.065251417,-0.028534478,-0.001799565,-1.294323802,6.530576229,15,-0.623895049,2.30629158,-8.129613876,-0.300349861,2.868527412,0.437699378,-1.263305068,7.717353344,-14.57408237,0.601540446,-1.36579752,8.403413773,-5.525209904,-7.255759239,7.51342392,-7.070665836,26.65913582,2.269151926,12.65287113,5.860648155,2.44604969,-0.047149941,0.547990441,0.026588211,-0.000290496,-0.00664772,-0.043431852,-0.038806245
0,7,-0.217800945,0.82339263,-0.978406906,-0.108685292,0.512630403,-1.166108608,-0.042637546,-0.317496955,0.774359107,-0.328880101,-0.121017881,0.465775073,0.016214428,0.005411131,0.497918218,0.066265076,-0.032404944,-0.001122116,-0.706272542,5.119953156,15,-0.982365966,0.181777284,-0.34504205,0.090620995,0.605262995,0.357439309,0.280034423,0.737044036,0.860467374,0.775828242,-8.942572594,1.022845387,-3.051125765,-5.872608662,7.661470413,-6.222949505,21.21369934,-6.152033329,11.44135952,6.201685905,5.082585812,-0.036236189,0.528313279,0.022465197,-0.000624535,-0.002409765,-0.025946405,-0.029252982
0,8,-0.226106659,0.866585135,-0.828576267,-0.12543036,0.507645726,-1.084553838,-0.042323079,-0.310841203,0.776172221,-0.328696668,-0.112675779,0.463199198,0.019582065,0.00554706,0.497186184,0.064996183,-0.032916699,-0.001854971,-0.907051265,3.500410557,14.95465469,-2.232825041,-1.026927471,14.93681812,-0.021458324,0.730806112,-0.025087126,-0.056650411,0.934770763,-0.593637228,-0.284217715,-14.12400627,11.55514812,-3.483248949,5.845620155,15.09351063,8.159005165,19.74991417,-6.500486374,-5.486311913,15.90181732,-5.083244801,-0.056595989,0.547144234,0.01693859,-0.000844145,-0.006721649,-0.025419878,-0.012711056
0,9,-0.228298023,0.883422256,-0.801156402,-0.144580036,0.495876491,-0.934681654,-0.043716315,-0.302330405,0.774095595,-0.330962181,-0.102424055,0.46921438,0.023081012,0.00561121,0.496573389,0.066043556,-0.033202887,-0.002080265,-0.299137354,0.387216121,0.611121178,-1.632052302,-1.283752561,14.99969292,-0.320515692,1.014780164,-0.395986408,-0.483294159,1.155676842,1.698518753,6.571178436,-26.24699211,16.80936813,8.187376976,-2.25778842,7.146888256,10.20879459,14.49944973,-13.70376396,-4.285953999,4.807397366,2.813714981,-0.067579709,0.550455928,0.012033717,-0.001027983,-0.0033651,-0.017263563,-0.003543362
