update,step,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,pos_0,pos_1,pos_2,rot_0,rot_1,rot_2,LF_HAA_angVel,LF_HFE_angVel,LF_KFE_angVel,RF_HAA_angVel,RF_HFE_angVel,RF_KFE_angVel,LH_HAA_angVel,LH_HFE_angVel,LH_KFE_angVel,RH_HAA_angVel,RH_HFE_angVel,RH_KFE_angVel,LF_HAA_force,LF_HFE_force,LF_KFE_force,RF_HAA_force,RF_HFE_force,RF_KFE_force,LH_HAA_force,LH_HFE_force,LH_KFE_force,RH_HAA_force,RH_HFE_force,RH_KFE_force,reward_Torque,reward_ForwardVel,reward_footClearance,reward_BodyHeight,reward_yVel,reward_zVel,reward_angVelocity
0,0,0.029999999,0.400000006,-0.800000012,-0.029999999,0.400000006,-0.800000012,0.029999999,-0.400000006,0.800000012,-0.029999999,-0.400000006,0.800000012,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220727667,0.010142632,0,0,0,0
0,1,0.025119284,0.39080584,-0.754962385,-0.022876477,0.42726624,-0.879328191,0.019242017,-0.423416853,0.89905417,-0.029540064,-0.438133776,0.896133065,-0.000717513,-0.000132922,0.499542654,0.005741586,-0.002393162,6.60E-05,-1.227193594,-0.853974581,2.033842564,1.340801239,5.318521976,-14.78679657,-2.148051023,-3.940421343,14.96201229,-0.206873655,-7.039293289,15,-19.2188282,-25.03922844,62.41231918,18.27578545,41.50017548,-7.353998661,1.299747109,-27.57770729,14.79848385,1.560023546,-60.5512886,7.956697464,-0.468615592,0.121619798,0.015707353,-0.000137203,-0.007926676,-0.018908549,-0.005399228
0,2,0.011645399,0.378486782,-0.725887597,-0.00345044,0.485810697,-1.025794983,-0.005090096,-0.475136936,1.048906803,-0.024978623,-0.522868276,0.975371838,-0.002563006,-0.000681671,0.499020368,0.020484544,-0.009407827,-0.000355545,-1.424292564,-1.574534059,3.707155704,2.553197145,6.262133598,-13.56939697,-2.656264544,-6.392401218,14.97386742,1.21426475,-9.833815575,0.414136678,-11.86040401,3.288516283,61.99957657,8.47585392,13.80315971,4.348556042,3.41994977,-30.58873367,10.14875031,18.3870163,-47.87095642,-22.19567108,-0.337977231,0.068924725,0.023384959,-0.00029389,-0.025333151,-0.012557811,-0.017316837
0,3,-0.002185838,0.359751344,-0.680775821,0.025543429,0.546361089,-1.142187595,-0.030977096,-0.551545739,1.198789358,0.00198299,-0.633424103,0.957250178,-0.005401259,-0.001882422,0.498500168,0.036964878,-0.020724831,-0.000851541,-1.307630777,-2.134101152,5.251803875,3.203741074,5.744158268,-8.923548698,-2.469839096,-8.861164093,14.97861576,4.312805653,-12.18363285,-4.026510715,-3.661696672,8.603038788,56.58754349,-0.481306314,-0.262852937,5.298416615,6.700283051,-28.65820503,2.839690208,22.00424957,-28.45039177,-8.238899231,-0.222147435,0.038248722,0.026285889,-0.00044995,-0.047400638,-0.01569037,-0.007260688
0,4,-0.016699743,0.33508718,-0.617329538,0.05654525,0.597364962,-1.214779377,-0.058929712,-0.650712729,1.348528862,0.038534012,-0.757543862,1.035444021,-0.008932991,-0.003513791,0.497696579,0.054741621,-0.037816789,-0.000962237,-1.404646993,-2.716368914,7.189297199,3.116254807,4.322290897,-5.155380249,-2.938463211,-10.96098614,14.83899403,4.447021961,-12.50688267,9.105230331,-2.765021801,18.47950363,62.09872818,-3.210291386,-13.66034985,2.118125439,4.259662151,-23.79440689,-2.346331596,19.08812523,-3.827471733,-8.734463692,-0.218076319,0.027520746,0.030994384,-0.00069103,-0.05571695,-0.022316201,-0.008139105
0,5,-0.030257262,0.303722948,-0.533208311,0.086615391,0.627338588,-1.242941737,-0.093344204,-0.768524647,1.495915055,0.079816036,-0.87283963,1.113295555,-0.012822507,-0.005375547,0.496785223,0.072096862,-0.060555022,-0.001007517,-1.175838947,-3.428662062,9.278846741,2.936984777,1.615645528,-0.442569137,-3.781844139,-12.52675438,13.81793785,3.767289877,-10.39564419,6.354577065,-6.697933197,23.61297798,66.43412781,-2.893177271,-24.53157043,1.050418019,1.758712769,-16.1873455,-4.133410454,21.11020088,8.28561306,-21.10432625,-0.274763733,0.023452643,0.034991112,-0.000964435,-0.059242651,-0.016723827,-0.008503265
0,6,-0.039979823,0.264874071,-0.429473609,0.118063718,0.632314026,-1.280450106,-0.125263169,-0.893502116,1.590729237,0.114491612,-0.963292956,1.166603565,-0.01680425,-0.007531635,0.495921671,0.086336769,-0.087202497,-0.00118674,-0.651391923,-4.2084589,11.09459972,3.398517609,-0.701236486,-6.737123489,-2.291552544,-12.35617733,4.516059875,3.05517292,-7.567857265,4.338332176,-8.310342789,15.7142992,54.24597549,-4.341406822,-30.1052475,-10.32128525,11.74618816,-7.085523605,-10.05555916,21.28817177,16.90221596,-18.74051857,-0.226787984,0.023486877,0.038437087,-0.001223497,-0.073620416,-0.009805018,-0.014025349
0,7,-0.042548209,0.215547755,-0.303515047,0.162703231,0.610242903,-1.39462769,-0.13812317,-1.011440516,1.605227947,0.1392719,-1.022409201,1.206712365,-0.020868817,-0.010330378,0.495250046,0.094923034,-0.116223782,-0.002055861,0.280637711,-5.472083092,13.59244633,5.548186779,-3.906706095,-15,0.072237685,-11.16061878,-1.733436584,1.932371616,-4.150402069,3.871069908,-7.689538479,-0.321035236,48.22476578,7.517992496,-38.79193878,-11.72654247,9.590140343,3.87783742,-4.178318024,18.74881363,21.83350945,-16.7731514,-0.212709278,0.021009389,0.044182852,-0.001424983,-0.096859366,-0.005588974,-0.010279097
0,8,-0.038646676,0.148768023,-0.155274779,0.225049525,0.547443688,-1.544706345,-0.132576123,-1.115840197,1.577006221,0.158858359,-1.05098784,1.250651956,-0.025254721,-0.013788279,0.494646549,0.096401863,-0.145750761,-0.003923713,0.447730243,-7.678171158,14.99977112,6.918447018,-8.662573814,-15.06287289,1.216487408,-9.737908363,-3.749790192,1.419052601,-1.613174081,4.709210873,-11.92748737,-20.93520546,48.32725525,10.07909489,-42.22955322,-5.086765289,0.186153039,13.71104145,1.191006184,15.12042141,31.02379799,-0.698600352,-0.248316288,0.0151093,0.053443801,-0.001606034,-0.110736243,-0.006070168,-0.016489295
0,9,-0.040336322,0.059360076,-0.006706991,0.293867946,0.437762529,-1.686430097,-0.126309633,-1.200864553,1.543691158,0.174653664,-1.055582881,1.344914317,-0.030023478,-0.017379159,0.493541867,0.094671428,-0.172728121,-0.005910382,-0.832939625,-10.21645069,15,6.740907192,-13.27439404,-12.41298389,0.020215565,-7.216524124,-2.745827198,1.583702803,0.823104203,13.2621479,-12.561409,-26.89272308,42.19615936,7.150678158,-36.44127274,1.076653481,-9.568291664,30.39181328,5.099526882,5.843773365,36.80556107,11.13171387,-0.263828605,0.010044993,0.066193759,-0.001937437,-0.108599775,-0.005283546,-0.015888089
0,10,-0.054121625,-0.052243643,0.14322795,0.356667787,0.29123494,-1.770521998,-0.140702724,-1.254090428,1.534012198,0.173661888,-1.02417171,1.460060835,-0.035091735,-0.02063591,0.491994798,0.09682589,-0.195839077,-0.007705937,-2.035527706,-12.0007658,15,5.863886833,-14.97557354,-4.592894077,-2.823907852,-3.357962132,0.827293396,-1.897368908,5.497473717,9.192684174,0.305441499,-17.45737457,32.50936127,1.458717942,-30.80730438,7.734723091,-17.56067848,47.8129425,7.893890381,-0.45302406,37.98146439,-0.776644349,-0.258916944,0.009434495,0.078844577,-0.002401563,-0.093469575,-0.013062837,-0.028022684
