update,step,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,pos_0,pos_1,pos_2,rot_0,rot_1,rot_2,LF_HAA_angVel,LF_HFE_angVel,LF_KFE_angVel,RF_HAA_angVel,RF_HFE_angVel,RF_KFE_angVel,LH_HAA_angVel,LH_HFE_angVel,LH_KFE_angVel,RH_HAA_angVel,RH_HFE_angVel,RH_KFE_angVel,LF_HAA_force,LF_HFE_force,LF_KFE_force,RF_HAA_force,RF_HFE_force,RF_KFE_force,LH_HAA_force,LH_HFE_force,LH_KFE_force,RH_HAA_force,RH_HFE_force,RH_KFE_force,reward_Torque,reward_ForwardVel,reward_footClearance,reward_BodyHeight,reward_yVel,reward_zVel,reward_angVelocity
0,0,0.029999999,0.400000006,-0.800000012,-0.029999999,0.400000006,-0.800000012,0.029999999,-0.400000006,0.800000012,-0.029999999,-0.400000006,0.800000012,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220727667,0.010142632,0,0,0,0
0,1,0.031761553,0.39317444,-0.796727717,-0.040950164,0.396360755,-0.760581851,-0.00426875,-0.393202484,0.843403816,-0.045185558,-0.389502823,0.836342692,3.91E-05,0.000815235,0.5000422,0.006865899,-0.00247021,-0.000727042,0.488574445,-1.320261598,0.715144038,-1.389801979,0.087174542,0.821319878,-6.539395332,1.478405833,8.215877533,-2.798816681,2.275171757,6.822154522,34.43865585,-15.27277184,-4.297175407,-27.35433769,0.331682384,64.45746613,-58.21230698,27.29434586,7.757906914,-9.377441406,32.10066605,9.683308601,-0.469874948,0.230567604,0.011875511,-1.27E-05,-0.046981927,-0.007695665,-0.033682331
0,2,0.054835461,0.392512023,-0.830186009,-0.048680417,0.396780789,-0.746762455,-0.064806104,-0.359894782,0.878899336,-0.069437645,-0.354455948,0.949465156,0.000624147,0.002172454,0.500030935,0.013763061,-0.010363597,-0.002595516,4.160334587,1.114649296,-6.955176353,-0.14087981,-0.013047486,1.95582974,-5.501828671,5.149747372,-1.162681937,-2.045033932,4.872506618,14.77816486,38.56573486,13.6937561,-7.01391983,-7.895713806,5.536118507,29.98938179,-10.90990257,22.77480507,-7.401162624,-4.841946602,32.53849411,10.21599007,-0.183817729,0.321968704,0.019589048,-9.29E-06,-0.034345493,-0.009449986,-0.075479172
0,3,0.114237212,0.42249769,-0.947499514,-0.039877079,0.395215482,-0.719529212,-0.090334512,-0.296704471,0.790516794,-0.082078792,-0.286203682,1.097335339,0.002321379,0.002756421,0.499500632,0.006395943,-0.021888379,-0.005163381,7.369276047,4.244032383,-14.84128571,1.468610168,-0.312585056,3.20518589,1.09209311,-0.185820818,3.513060331,-0.543965757,8.701748848,13.94362068,22.92401123,26.83772087,-4.302153587,1.429865837,0.016658556,24.83624077,24.74090767,17.89711189,-22.15271378,-8.585289955,30.82519341,2.410687447,-0.173441544,0.421645939,0.029706446,-0.000149812,-0.001101031,-0.012085022,-0.029950257
0,4,0.200485736,0.475594282,-1.097136855,-0.021372076,0.391241491,-0.685471058,-0.075524911,-0.297956884,0.825394809,-0.085493207,-0.189129472,1.233727694,0.004755878,0.00245869,0.499232054,-0.010277776,-0.032687444,-0.006426204,9.826120377,6.309256554,-14.96313286,2.190235376,-0.47163105,3.576356411,1.850562453,-0.033463467,3.391455173,-0.182648003,10.71792316,12.45882416,18.65792656,27.70560074,-4.875290871,3.078686714,-10.58073616,16.69903374,17.477705,12.74961567,-36.48694611,-11.53159714,12.03515911,-0.152552083,-0.144677639,0.496136308,0.046603575,-0.000230383,-0.015006172,-0.008541828,-0.02979527
0,5,0.309150606,0.544717193,-1.223648787,0.003570541,0.385154665,-0.64556694,-0.053200062,-0.297724873,0.860172153,-0.086000793,-0.071687743,1.349119067,0.007892504,0.001752378,0.499114662,-0.033162992,-0.043226201,-0.007459942,11.83189297,7.361440659,-9.419500351,2.729577303,-0.740315735,4.390484333,2.563417196,0.097777523,3.518377066,0.01061316,12.72382545,9.954490662,9.366717339,22.26847458,7.561802864,7.747834682,-10.47970295,18.63777351,18.66223717,15.31332874,-30.6107254,-12.80941105,10.34698963,-1.145653486,-0.118010737,0.543628693,0.064114176,-0.000265603,-0.024945516,-0.006537159,-0.01113358
0,6,0.441042125,0.616019547,-1.243261218,0.033574652,0.37615633,-0.598204434,-0.024297377,-0.296041965,0.895309508,-0.084206931,0.060164701,1.432660699,0.011513345,0.000626936,0.499139637,-0.06102939,-0.054091845,-0.008220798,14.35684109,6.814404488,5.436742783,3.198033094,-1.044978499,5.044127464,3.152680874,0.257386386,3.45725584,0.253536075,13.54715347,6.349786282,7.037243843,16.82608223,13.82416725,12.95361423,-7.898150921,13.42354488,17.58067894,20.06493378,-31.76168251,-11.40561771,-0.449847281,-2.835490465,-0.111717306,0.56691283,0.078092068,-0.000258107,-0.039311901,-0.005830431,-0.00862768
0,7,0.589202166,0.680666029,-1.131257772,0.066365302,0.364285141,-0.544425905,0.008824264,-0.292285085,0.929083347,-0.081329726,0.197337329,1.465836644,0.015496241,-0.000832898,0.499300838,-0.091667295,-0.065177739,-0.008917063,14.86179543,6.228252888,14.93814182,3.270441771,-1.297024131,5.639143944,3.389609575,0.512437463,3.235929966,0.211505488,13.75030327,0.265468776,-1.179677367,13.32415676,7.31786108,14.2353611,-5.047251701,12.82031822,13.92276382,22.94769669,-28.13924789,-7.768309116,-7.545021534,-5.425751209,-0.091357075,0.584225178,0.087093644,-0.000209746,-0.043951798,-0.005608108,-0.002794109
0,8,0.731186628,0.742995977,-0.981478751,0.096607715,0.352518559,-0.490830392,0.041028894,-0.285637975,0.957990706,-0.08349131,0.331841737,1.42143333,0.019879229,-0.002227282,0.499441385,-0.120522372,-0.075680695,-0.009305194,13.33445835,6.232216835,14.95855236,2.718656301,-1.025959134,5.013753891,2.969795227,0.827214539,2.513885975,-0.750911117,12.97206688,-8.564958572,-10.56230736,9.368067741,2.229758024,12.6836195,-0.496629864,3.689786673,9.723843575,18.6806488,-29.23251724,-7.031166077,-16.30523682,-7.812732697,-0.082137078,0.595534861,0.093542568,-0.000167584,-0.035815507,-0.012636828,-0.004586858
0,9,0.847821653,0.804629803,-0.831680059,0.120818384,0.346102536,-0.454886466,0.065163948,-0.275060654,0.976981699,-0.099353954,0.45492205,1.291027665,0.024656182,-0.00327679,0.499466926,-0.141354501,-0.084438853,-0.009267617,9.833098412,6.121500969,14.95858669,2.098111391,-0.258864552,1.961144924,1.785242796,1.278639674,1.288700819,-2.492556095,11.32849407,-15,-20.60499763,3.55479598,0.632303536,8.201974869,3.930022478,-2.106985331,7.862743855,16.89302063,-32.47199249,-3.479991913,-22.10045433,-7.4105196,-0.099273704,0.599761903,0.097511165,-0.000159918,-0.022539979,-0.016125204,-0.006145648
